TimeUS,PosX,PosY,PosZ,VelX,VelY,VelZ,AccX,AccY,AccZ
35744188,0.358661,-1.457500,2.025632,-0.442700,-0.098912,-0.003451,-0.058671,0.118843,-0.002241
35944179,0.264240,-1.474657,2.022924,-0.467363,-0.074602,-0.009193,-0.072399,0.119258,-0.007691
36144172,0.178430,-1.485346,2.021689,-0.455680,-0.045202,-0.008637,-0.043835,0.125429,-0.005403
36344167,0.084405,-1.493271,2.022215,-0.470210,-0.023653,-0.003509,-0.050129,0.121848,0.001037
36544183,-0.011386,-1.493152,2.022568,-0.480390,0.006941,0.000713,-0.048936,0.128155,0.006164
36744163,-0.099143,-1.485937,2.021780,-0.464411,0.041459,-0.000353,-0.021359,0.137575,0.004140
36944166,-0.194520,-1.472214,2.021965,-0.474640,0.077120,0.000389,-0.027912,0.146835,0.003637
37144175,-0.282764,-1.453944,2.021442,-0.457066,0.105745,-0.000766,-0.001612,0.145637,0.001635
37344184,-0.371490,-1.428848,2.018779,-0.450697,0.137010,-0.006381,0.004940,0.147385,-0.003908
37544197,-0.461583,-1.401514,2.017556,-0.448160,0.157027,-0.006534,0.007847,0.136457,-0.003040
37744182,-0.543864,-1.372917,2.019836,-0.426097,0.169047,0.003194,0.029152,0.120269,0.008227
37944171,-0.631961,-1.330922,2.018012,-0.429785,0.210439,-0.003698,0.018373,0.139865,-0.001752
38144403,-0.713073,-1.285693,2.017948,-0.411657,0.238053,-0.001486,0.035074,0.138600,0.001418
38344160,-0.790330,-1.237550,2.019548,-0.392918,0.260372,0.003304,0.047553,0.133304,0.005794
38544236,-0.866557,-1.182251,2.020053,-0.377280,0.286932,0.003940,0.054466,0.132514,0.005390
38744163,-0.932889,-1.129315,2.022105,-0.342482,0.292813,0.007545,0.081197,0.109776,0.007634
38944162,-1.000812,-1.068567,2.022990,-0.329902,0.315320,0.006914,0.076757,0.110756,0.005331
39144178,-1.063895,-1.005149,2.024467,-0.305483,0.327045,0.008570,0.086798,0.097985,0.006403
39344178,-1.123189,-0.935956,2.027406,-0.289029,0.352896,0.013109,0.085105,0.105493,0.010036
39544193,-1.180210,-0.860812,2.029488,-0.273602,0.380111,0.012248,0.084055,0.111569,0.006381
39744163,-1.229295,-0.789362,2.030216,-0.243861,0.379883,0.008685,0.098227,0.085718,0.001450
39944182,-1.276350,-0.708597,2.028861,-0.224313,0.405228,-0.000068,0.098175,0.094672,-0.008537
40144168,-1.314957,-0.630172,2.025989,-0.193066,0.411000,-0.008396,0.110378,0.080157,-0.015033
40344165,-1.352931,-0.543011,2.024205,-0.176204,0.436570,-0.009602,0.104180,0.090528,-0.012208
40544193,-1.387147,-0.455103,2.024519,-0.156036,0.446043,-0.005066,0.103638,0.079663,-0.004657
40744202,-1.412041,-0.372692,2.023287,-0.123944,0.439310,-0.005603,0.115561,0.055800,-0.003751
40944167,-1.431425,-0.285004,2.021604,-0.091604,0.448662,-0.008994,0.125900,0.055075,-0.007466
41144174,-1.447130,-0.196031,2.022362,-0.065941,0.452871,-0.002636,0.126571,0.046594,0.001203
41344182,-1.455974,-0.107322,2.024092,-0.034732,0.452612,0.003497,0.132917,0.036584,0.007323
41544172,-1.459118,-0.014754,2.025636,-0.005331,0.462961,0.007301,0.135662,0.039381,0.010145
41744219,-1.456668,0.076202,2.027351,0.024027,0.464973,0.009719,0.138061,0.033721,0.010719
41944162,-1.447188,0.167916,2.026026,0.056718,0.466704,0.002426,0.143309,0.028872,0.000744
42144186,-1.433684,0.252917,2.025270,0.083838,0.445625,-0.001961,0.141965,-0.001362,-0.004873
42344165,-1.414370,0.339445,2.024101,0.112006,0.439564,-0.005377,0.142151,-0.006653,-0.007904
42544175,-1.389100,0.430860,2.023656,0.140114,0.445891,-0.005017,0.141551,0.000878,-0.006001
42744168,-1.362275,0.511822,2.024183,0.156636,0.422064,-0.001216,0.128544,-0.024790,-0.000333
42944164,-1.326412,0.597091,2.022210,0.187250,0.420585,-0.005120,0.133434,-0.021283,-0.003819
43144166,-1.286354,0.674677,2.019390,0.213210,0.398785,-0.010350,0.132241,-0.040553,-0.008400
43344181,-1.245999,0.747711,2.020440,0.224641,0.370016,-0.003754,0.115884,-0.063091,-0.000092
43544200,-1.193641,0.827048,2.019669,0.261885,0.376359,-0.002720,0.130867,-0.042349,0.001784
43744193,-1.142458,0.896988,2.021538,0.277313,0.354569,0.004067,0.119237,-0.057227,0.008566
43944165,-1.082066,0.968051,2.023849,0.308774,0.346845,0.009207,0.127841,-0.053076,0.012069
44144198,-1.021721,1.030825,2.026734,0.322478,0.320250,0.014307,0.114554,-0.070608,0.015273
44344162,-0.956442,1.088924,2.027914,0.342128,0.294841,0.012568,0.111704,-0.081806,0.010627
44544192,-0.881864,1.149118,2.030940,0.372581,0.283546,0.014769,0.119771,-0.076651,0.010180
44744165,-0.811984,1.199736,2.032941,0.376532,0.254753,0.012825,0.098386,-0.091177,0.005377
44944185,-0.731208,1.251350,2.033722,0.406578,0.243755,0.008067,0.109946,-0.083201,-0.001283
45144184,-0.653372,1.294713,2.034046,0.411082,0.214812,0.003397,0.089998,-0.097775,-0.006660
45344188,-0.574952,1.333293,2.036695,0.414409,0.188451,0.007375,0.075104,-0.104916,-0.001323
45544196,-0.485574,1.368319,2.035062,0.443955,0.165150,-0.001694,0.091134,-0.107893,-0.010893
45744185,-0.404348,1.397341,2.043392,0.436121,0.139139,0.021895,0.063248,-0.112158,0.017464
45944182,-0.310671,1.421567,2.046304,0.462016,0.112881,0.020469,0.077510,-0.115840,0.012268
46144194,-0.221236,1.438445,2.044962,0.462726,0.079027,0.005976,0.060150,-0.128192,-0.006775
46344167,-0.131107,1.451727,2.046507,0.465778,0.053083,0.005164,0.051259,-0.128810,-0.006748
46544188,-0.038885,1.456138,2.040719,0.469892,0.016940,-0.015482,0.044152,-0.140165,-0.027971
46744185,0.051590,1.460116,2.043226,0.463438,-0.002811,-0.005452,0.026823,-0.131715,-0.012206
46944179,0.145839,1.456031,2.040943,0.472315,-0.031078,-0.008768,0.031043,-0.133395,-0.011909
47144164,0.236252,1.446069,2.039487,0.464349,-0.059787,-0.008901,0.015035,-0.134955,-0.009050
47344181,0.326924,1.431491,2.037757,0.461170,-0.087285,-0.010883,0.008916,-0.136010,-0.009812
47544166,0.420784,1.410048,2.035776,0.463475,-0.117513,-0.011523,0.008685,-0.138886,-0.008248
47744163,0.502148,1.385846,2.034627,0.434842,-0.139938,-0.009535,-0.022851,-0.133411,-0.004345
47944167,0.592987,1.353904,2.033136,0.442849,-0.170421,-0.009024,-0.008998,-0.137662,-0.002909
48144188,0.677706,1.319166,2.031646,0.429164,-0.191843,-0.008959,-0.022952,-0.130882,-0.002457
48344177,0.760992,1.278670,2.030892,0.418724,-0.216391,-0.005913,-0.028700,-0.129093,0.001661
48544212,0.838611,1.232500,2.027227,0.396785,-0.242582,-0.012513,-0.046581,-0.129161,-0.005724
48744190,0.911280,1.186463,2.028159,0.371710,-0.254313,-0.003508,-0.063320,-0.114030,0.005345
48944187,0.986133,1.131099,2.028464,0.361518,-0.282721,-0.000959,-0.060890,-0.120273,0.006194
49144165,1.053477,1.073038,2.027806,0.337939,-0.303706,-0.001497,-0.073856,-0.116554,0.004178
49344165,1.120007,1.008799,2.028022,0.324592,-0.331271,-0.000303,-0.072161,-0.121827,0.003962
49544179,1.179141,0.940456,2.026872,0.297749,-0.354939,-0.002816,-0.085727,-0.121234,0.000422
49744183,1.232446,0.870762,2.028358,0.265440,-0.366643,0.002316,-0.102568,-0.107170,0.005399
49944180,1.283619,0.794632,2.028908,0.244437,-0.389881,0.002310,-0.103700,-0.109081,0.003524
50144168,1.328720,0.718602,2.029833,0.218245,-0.400119,0.003160,-0.110022,-0.096585,0.003030
50344179,1.368868,0.640378,2.030533,0.193286,-0.409058,0.004556,-0.112306,-0.085903,0.004416
50544293,1.407989,0.555827,2.033162,0.178602,-0.427565,0.011008,-0.103750,-0.086333,0.011112
50744182,1.436804,0.472887,2.031206,0.144736,-0.432960,0.001451,-0.117649,-0.073614,-0.001251
50944197,1.464488,0.384761,2.033602,0.123600,-0.448148,0.006551,-0.115534,-0.074329,0.004089
51144282,1.482962,0.299910,2.033531,0.088670,-0.442311,0.003420,-0.128208,-0.051026,-0.000060
51344184,1.497520,0.209883,2.032903,0.062144,-0.453569,0.000574,-0.128588,-0.051805,-0.002516
51544220,1.509112,0.118679,2.036257,0.040742,-0.462910,0.008556,-0.124290,-0.051056,0.006156
51744226,1.513323,0.031962,2.036573,0.011819,-0.450833,0.006081,-0.128197,-0.026557,0.002518
51944251,1.511422,-0.061057,2.036501,-0.018440,-0.463433,0.003353,-0.133073,-0.035002,-0.000627
52144221,1.505458,-0.149223,2.038342,-0.043749,-0.454004,0.006610,-0.131527,-0.016028,0.003054
52344200,1.493283,-0.238728,2.037476,-0.072581,-0.452697,0.000424,-0.134448,-0.011118,-0.004612
